id,sahihName,BookNameEn,BookNameAr,TrBookName
82,Sahih al-Bukhari,Divine Will (Al-Qadar),كتاب القدر,
83,Sahih al-Bukhari,Oaths and Vows,كتاب الأيمان والنذور,
84,Sahih al-Bukhari,Expiation for Unfulfilled Oaths,كتاب كفارات الأيمان,
85,Sahih al-Bukhari,Laws of Inheritance (Al-Faraa'id),كتاب الفرائض,
86,Sahih al-Bukhari,Limits and Punishments set by Allah (Hudood),كتاب الحدود,
87,Sahih al-Bukhari,Blood Money (Ad-Diyat),كتاب الديات,
88,Sahih al-Bukhari,Apostates,كتاب استتابة المرتدين والمعاندين وقتالهم,
89,Sahih al-Bukhari,(Statements made under) Coercion,كتاب الإكراه,
90,Sahih al-Bukhari,Tricks,كتاب الحيل,
91,Sahih al-Bukhari,Interpretation of Dreams,كتاب التعبير,
92,Sahih al-Bukhari,Afflictions and the End of the World,كتاب الفتن,
93,Sahih al-Bukhari,Judgments (Ahkaam),كتاب الأحكام,
94,Sahih al-Bukhari,Wishes,كتاب التمنى,
95,Sahih al-Bukhari,Accepting Information Given by a Truthful Person,كتاب أخبار الآحاد,
96,Sahih al-Bukhari,Holding Fast to the Qur'an and Sunnah,كتاب الاعتصام بالكتاب والسنة,
97,Sahih al-Bukhari,"Oneness, Uniqueness of Allah (Tawheed)",كتاب التوحيد,
